item,body,rating
Heady Topper,"Poured from a 16 ounce can dated 7-31-23 into a teku glass. 
 
Look- Medium gold, very hazy, frothy white head, above average head retention and lacing. 
 
Smell- Pine resin, clementine, nectarine, dank, earthy, medium strength of scent. 
 
Taste- Pine resin, clementine, pithy, pineapple, herbaceous, high strength of flavor. 
 
Feel- Between medium and full body, average carbonation, highly creamy, moderately bitter, mildly mouth warming, mildly dry finish. 
 
Overall- Medium gold and very hazy with above average head retention and lacing. Bouquet was medium strength with notes of pine resin, clementine, nectarine and dankness. Flavor was a great mix of pine resin, clementine, pith and pineapple. Feel was between medium and full body, mildly mouth warming and highly creamy. Overall this beer provided a great drinking experience and was much more of a mix between a West Coast IPA and NEIPA, than a true NEIPA from todays standards.",4.52
Heady Topper,,4.31
Heady Topper,,4.5
Heady Topper,,4.75
Heady Topper,,4.7
Heady Topper,,4.71
Heady Topper,,5
Heady Topper,"L - Hazy, yellow golden with a frothy white head that sticks around leaving behind a good amount of lacing  
S - Bright, fresh, piney, resinous, bitter, floral hops. Malt and grass.  
T - Fresh, piney, resinous, floral, bitter hops up front and throughout, intermixed well with malt and cracker notes along with grass as well as citrus - grapefruit - and apricot Dank on the backend  
F - medium bodied with moderate carbonation. Crisp, refreshing  
O - An incredibly well rounded imperial IPA.",4.76
Heady Topper,,4.53
Heady Topper,,5
Heady Topper,Yeah ok it’s very good. Great hop flavor. Price point is a bit much but def worth the investment now and again. So seek it out if you can find it and enjoy!,4.5
Heady Topper,,5
Heady Topper,,4.68
Heady Topper,,5
Heady Topper,"I had a chance to visit the brewery and have Heady Topper on tap, and bring a few home for a more in depth tasting. 
 
Aside from knowing its fame, I knew little else. My first thoughts were it was not quite as hazy as I expected. Secondly, upon tasting I was surprised to find it reminded me more of a western IPA than an NEIPA. Not that its a bad thing, I'm just preferential to hazy beers with grapefruit that you cannot see into. Most of my experience is with NY based NEIPAs which do seem a bit different than Vermont. 
 
Smell - It seemed more floral than fruity. The alcohol content also shone through a bit. 
 
Taste - Wow. No IBU rating on can but this has to be 60+ but not so much as to be a distraction in the taste. The flavor really helps balance the bitterness. The pine and resin was strong, albeit weaker than some great west coast IPA's I have had. This was followed by a complex fruitiness that was beyond me to completely identify. No massive grapefruit or citrus flavor I could identify, maybe a complex mixture of blackberry and blood orange would be the most apt description. 
 
The aftertaste was ... dark, damp, and lasting. In a great way. To me the ten seconds after the drink was probably the best part of the beer. The stronger alcohol content was very warming while the flavor was ... dark, but also releasing more taste as the seconds ticked by. 
 
And I must say I loved the brewery. Beautiful and great staff. I literally stayed a 3 minute walk from it. My only concern was it was a touch small on the inside seating area, the food options were not strong and it closes at 6PM. Another downside (lol) was the number of very good breweries within 15 minutes, I only was able to make one trip here due to committing to other breweries and the early closing hour.",4.37
Heady Topper,"What? I never rated Heady Topper! Great 'tude. Greater Vt.  
My sister brings this to me from Vt.  
a) Hazed golden standard with lace and last - tho brewer encourages us to drink from can, which in a taste test turns out to be great advice.  
s) Baked good floating an herbal, piney, floral sea.  
t) Follows aroma through the full see saw of sweet and bitter, woody, earthy, piney, dank, floral.  
f) Smooth, tongue kissy. 
o) Deserves it's pinnacle marks.",4.54
Heady Topper,,4.84
Heady Topper,The original! Beer is incredibly hoppy and flavorful strong dank tones. This beer is good.,4.8
O.W.K.,,5
O.W.K.,,5
O.W.K.,,5
A Deal With The Devil - Triple Oak-Aged,"2021 batch 3, drank in June 2022. Didn't get as much from this as previous ADWTD. Felt sweet without complexity that you would expect. Still very delicious, just not worth the price.",4.6
A Deal With The Devil - Triple Oak-Aged,,5
A Deal With The Devil - Triple Oak-Aged,,4.28
A Deal With The Devil - Triple Oak-Aged,,4.9
A Deal With The Devil - Triple Oak-Aged,,4.99
A Deal With The Devil - Triple Oak-Aged,"Complex and boozy, hits all the right barley wine notes but adds so much more. Fruity, sweet but not cloying. Thick but not too heavy, just all around outstanding.",5
A Deal With The Devil - Triple Oak-Aged,,5
A Deal With The Devil - Triple Oak-Aged,"My first sacrifice at Dark Lord Day 2023 (it's back baby!!!), this screenprinted batch 1 Triple Oak label--sporting those the Aussie stickers with pride--poured a mildly viscous clear reddish-copper with nary a head to speak of, though ringed by a bubbly tan chain. 
 
Intensely woody up front, it even leans a little pungent and catty right out of the bottle. However, it quickly transforms into an explodingly delectable maple tempered by a whiskey heat that both continue to expand on the exhale and with each subsequent sip. 
 
Though this definitely shows its age, it's quite the experience nevertheless. Still, I'm not sure anything can beat my nostalgia for the original cognac-only bomber, despite my Double Oak rating being the highest of all three.",4.35
A Deal With The Devil - Triple Oak-Aged,,5
A Deal With The Devil - Triple Oak-Aged,,4.7
A Deal With The Devil - Triple Oak-Aged,,4.87
A Deal With The Devil - Triple Oak-Aged,As good as it gets. From the bottle at Rosada Ranch on 04/02/23.,4.75
A Deal With The Devil - Triple Oak-Aged,"This is a special one. I wanted to crack this while reading Brandon Sanderson's ""Tress Of The Emerald Sea"". So I did. 
 
Apppearance is dark brown, just a shade brighter than a cup of coffee. Definitely some translucence.  
 
Nose is just a cacophony of oak, bourbon, dark bread with plum jam, apple butter, caramel soaked raisins, and coconut. Wow. Simply exquisite. The nose is expressive, but not overbearing. Restrained. 
 
The taste follows the nose perfectly. Sweet, dark fruit, like plum, date and fig, combined with caramel and brown sugar, rich breadiness, oak, apple, cherry, baking spices. Everything works perfectly with each other.  
 
Mouthfeel is full bodied. Not thick or syrupy either. Not too cloying. A little bit of evaporation to counteract. Some tannins to dry. It fits well in this regard. It doesn't hang too heavy on the palate.  
 
Overall this is stellar brew. I can't think of many words to really capture how absolutely amazing this experience is. A product crafted by masters in thier field and it shines through brilliantly.",4.84
A Deal With The Devil - Triple Oak-Aged,"2022 vintage 
 
Review 1600! I've saved a truly legendary beer for this milestone review, the highest rated American Barleywine on BA and 13th highest rated overall. I just had the Double Oak version yesterday and it was damn good, so I have high hopes for this. Let's crack this beast open and see what it's all about 
 
Pours a cloudy dark brown with just a finger of tan head that quickly fades to a nothing and leaves no lacing, but with fantastic legs 
 
In the nose, it's also quite similar to Double Oak, though with some more barrel presence. I'm picking up on aromas of earthy bourbon, charred oak, molasses, burnt caramel, plum, black cherry, cognac, toasted coconut, sweet vanilla, old leather, light fig, and toffee 
 
The booze is more forward here, but it pushes such wonderful complexities in taste that it actually adds to the experience. On the front end of the sip I'm tasting cocoa powder, black cherry, cognac, toasted oak, sweet bourbon, honey, molasses, dark toast, fig, sweet vanilla, raisin, light toffee, and tobacco. The swallow brings notes of leather, smoky tobacco, charred oak, molasses, fig, black cherry, toasted coconut, port wine, plum, cacao nib, burnt caramel, brown sugar, and light walnut 
 
A full body pairs with gentle tingling carbonation, resulting in a rich and silky beer. Finishes a tad sticky, but the boozy tingle dries it out over time 
 
This is incredible. The Double Oak version was great too, but this one edges it out. Definitely a beer I'll remember for years to come",4.6
A Deal With The Devil - Triple Oak-Aged,,4.74
A Deal With The Devil - Triple Oak-Aged,,4.73
A Deal With The Devil - Triple Oak-Aged,,4.34
A Deal With The Devil - Triple Oak-Aged,,4.79
A Deal With The Devil - Triple Oak-Aged,,4.78
Abraxas - Barrel-Aged,"750ml waxed and capped bottle into a DDG teku. 
 
Pours thick, viscous. No head, no lace. Big, mocha colored legs. Spice and cinnamon sugar are apparent on the nose. Also notes of chocolate, fudge, molasses, and booze. Very pungent. Beer opens chocolate, fudge, and cinnamon sugar. Spicy and prickly. Vanilla and barrel in the middle. Oak, booze, and more molasses and fudge at the end. Sticky finish. Body is full with low carbonation. Smooth and rich on the palate and goes down messy with a lingering aftertaste.  
 
I'm actually less of a fan of this than other imperial stouts in Perennial's barrel aged series. That being said, still far better than average.",4.29
Abraxas - Barrel-Aged,,4.84
Abraxas - Barrel-Aged,,4.83
Abraxas - Barrel-Aged,,4.64
Abraxas - Barrel-Aged,,4.53
Abraxas - Barrel-Aged,,4.59
Abraxas - Barrel-Aged,,4.59
Abraxas - Barrel-Aged,"Excellent rye barrel with strong taste of cinnamon. Hints of cocoa nibs, ancho, and vanilla are pushed into the background by the barrel flavor, which dominates the other flavors. It is very good, but personally I slightly prefer the greater nuance of the regular Abraxis.",4.4
Abraxas - Barrel-Aged,,4.4
Abraxas - Barrel-Aged,,5
Abraxas - Barrel-Aged,,4.6
Abraxas - Barrel-Aged,,3.89
Abraxas - Barrel-Aged,,4.5
Abraxas - Barrel-Aged,,4.9
Abraxas - Barrel-Aged,,4.33
Abraxas - Barrel-Aged,Cinnamon and pepper the predominant notes. Cocoa and the barrel aged bourbon sweetness add on the balance the spiciness. Very well done adjuncted BA stout.,4.61
Abraxas - Barrel-Aged,,4.75
Abraxas - Barrel-Aged,"Good. Not noticeably better than normal abraxas. Id say overly sweet per style and too mich cinnamon. #3 beer on beer advocate LMAO no. 
 
Okay. Fuck. The more I drink this the more I can barely finish the 9oz pour. Sugar cinnamon water. Cloying and WAY fucking 2 dimensional and cloying.",4.13
Abraxas - Barrel-Aged,,4.7
O.W.K.,,5
O.W.K.,,4.75
O.W.K.,,4.5
O.W.K.,,4.9
O.W.K.,,4.85
O.W.K.,,4.99
O.W.K.,,4.5
O.W.K.,,5
O.W.K.,,4.75
O.W.K.,,4.78
O.W.K.,,4.77
O.W.K.,,4.72
O.W.K.,,4.99
O.W.K.,,5
O.W.K.,,4.84
O.W.K.,"B2. Served at SP from bottle. Waited for it to warm for awhile. Pitch black. Nice balance of bourbon and vanilla on the nose. Complex beer. Starts off with bourbon forward, then vanilla comes in very subtlety and finishes with delicious chocolate. Medium to heavy mouthfeel. Would’ve liked it heavier some. Vanilla is there but subtle showcasing the barrel. I would’ve liked more vanilla however.",4.65
O.W.K.,,5
King Julius,Excellent,5
King Julius,"A - Pours a hazy orange with a one finger creamy white head. Heavy amount of soapy lacing. 
 
S - Aroma is orange, mango and pineapple. 
 
T - The taste follows the aroma with orange juice, pineapple, mango, cantaloupe and a light bitterness in the finish. 
 
M - Medium body with medium carbonation. Creamy mouthfeel with a soft crisp finish. 
 
O - This is a top notch NEIPA.",4.62
King Julius,,4.71
King Julius,,4.5
King Julius,,4.42
King Julius,,5
King Julius,,4.67
King Julius,,4.74
King Julius,,4.75
King Julius,,4.8
King Julius,"L: A Yellow Gold which poured with two fingers of white head. Extremely hazy.  
 
S: Pineapple, some mango, orange zest.  
 
T: Follows nose with a bit less pineapple. A little bitterness on the back end.  
 
F: Moderate carbonation, medium to full body. 
 
O: An absolute masterpiece. No wonder it's rated so highly.",4.85
King Julius,"Pours a dark orange, totally opaque. Small head that disappears quickly but with good lacing. Nose is faint mangos, taste is a soft mango and peach with some bitterness. I liked this better than fresh Julius. A good hazy, better than most but not so amazing you should drive 400 miles. I enjoyed Tree House, but its annoying you have to pay for full pours and can't pay to try several things and see what you like.",4.48
King Julius,,4.6
King Julius,,4.5
King Julius,,4.5
King Julius,,3.98
King Julius,,4.75
King Julius,,4.25
King Julius,,4.34
King Julius,,4.56
Marshmallow Handjee,,4.71
Marshmallow Handjee,09/11/23 draft @ Winking Lizard Canton,5
Marshmallow Handjee,,4.75
Marshmallow Handjee,"2022 vintage, bottle 1316/3500 
 
Another milestone review, number 1800! I figured since I have the highest rated RIS on BA just sitting around that it would be a perfect time to break it out. This is my first of any Dark Lord variant, and I think it’s a damn good place to start for the series. Let’s pop this legend open and see what it has to offer 
 
Pours almost completely pitch black with a finger of creamy tan head that fades to a thin cap and leaves minimal lacing 
 
The roast is real in this one, but it’s wonderfully offset by the sweeter notes as well. I’m picking up on aromas of drip coffee, burnt caramel, dark toast, milk chocolate, tobacco, vanilla bean, molasses, toasted oak, fig, and light cinnamon 
 
It’s similar in taste, but with even more of a depth, making this one hell of a complex beer. On the front end of the sip I’m tasting milk chocolate, vanilla bean, sweetened coffee, toasted oak, fig, maple syrup, burnt caramel, sweet bourbon, cinnamon, black cherry, and marshmallow. The swallow brings notes of milk chocolate, charred oak, maple syrup, burnt caramel, black cherry, fig, vanilla bean, allspice, sweet bourbon, marshmallow, dark toast, and tobacco 
 
A medium body pairs with gentle carbonation, resulting in a smooth beer. Finishes mostly dry with just a touch of boozy heat 
 
Oh yeah, this is amazing. Thankfully a beer that lives up to the hype. Maybe one day I’ll splurge on another bottle",4.6
Marshmallow Handjee,,4.75
Marshmallow Handjee,,5
Marshmallow Handjee,,4.53
Marshmallow Handjee,"2019 bottle, purple sparkle wax. Pours black with minimal head, no retention. Nose rich vanilla, fruity with strawberry, graham cracker. Taste boozy, chocolate, toasted marshmallow. Full body and minimal carbonation.",4.86
Marshmallow Handjee,2022 v.,4.42
Marshmallow Handjee,,4.44
Marshmallow Handjee,,5
Marshmallow Handjee,"Had the yellow wax at a wedding dinner party. Vanilla/marsh overload, barrel was there, but mostly sweet. Pretty good",5
Marshmallow Handjee,,4.84
Marshmallow Handjee,,4.28
Marshmallow Handjee,2021 bottle - Share w John M in Denver.,4.59
Marshmallow Handjee,"2020 Release  
#0590/1500 
Drank during hurricane Ian in Orlando, Florida on September, 28th, 2022.",4.43
Marshmallow Handjee,,5
Marshmallow Handjee,,4.29
Marshmallow Handjee,,4.44
Marshmallow Handjee,,4.78
Samuel,,4.75
Samuel,"2020 vintage at the brewery bottled. 
 
White head. Lace. Clear yellow gold color. Beautiful beer. 
 
A bit tart, a bit citrusy, but refreshing and balanced. Green apples, white wine, and grapes. Earthy, wheat, light saison spice, but not like a Belgian saison. More subtle. Fruity, but drinks like a white wine. Fairly dry, but bubbly. 
 
Very enjoyable and worth the hype. Can’t believe I finally got to try this one.",4.9
Samuel,,4.56
Samuel,,4.94
Samuel,,4.94
Samuel,,4.62
Samuel,,4.79
Samuel,,4.5
Samuel,,4.71
Samuel,,4.75
Samuel,,4.4
Samuel,"This is mild honeyed sweetness, light lemony, great funky, and super smooth.",4.66
Samuel,,4.75
Samuel,"b3, bottled 8-27-20, poured from a 750mL bottle into a SP “cheers” stemmed wine glass. pours a foggy orange with a fluffy white foam head. foam dissipates but lingers as a thick white foam collar around the glass. aromas of white wine, lemon, honey, hay, oak all in perfect harmony. taste follows with a bright lemony tart finish. full mouthfeel. as it warms it takes on more white wine qualities. pleasantly tart. perfectly carbonated. amazing beer.",4.73
Samuel,,5
Samuel,"Slightly foggy but bright yellow with a soft white head that retains well. 
 
Insanely refreshing and softly effervescent up front, it starts with melon and peach characteristics, but then subsequent sips allow subtle farmhouse funk and oak to develop, while even adding hints of passion fruit seed as it warms. The medium-light body then comes to a bone dry finish. 
 
Batch 4. 
 
--- 
 
On the evening of March 10th, 2023, I had the pleasure of enjoying a batch 2 bottle thanks to the contrite generosity of a long lost friend, ultimately coming away enjoying it even more than b4.  
 
Here, an oaky funk pairs with an impressive array of stonefruits and pear accompanied by a beautiful bouquet of herbal accents, including a hint of spearmint, making for an absurdly unique yet ever delicate expression. Unlike b4, I do actually feel that I perceive the faintest hint of buckwheat here, which provides a satisfying comfort in a small but substantial way. 
 
This beer exhibits such unbelievable balance and complexity that it may be their best barrel aged saison, and I find myself increasing my already very high score of 4.76.",4.94
Samuel,,4.37
Samuel,,4.85
Samuel,,4.76
Samuel,,4.94
Hunahpu's Imperial Stout - Double Barrel Aged,,4.51
CBS (Canadian Breakfast Stout),,4.75
CBS (Canadian Breakfast Stout),,4.74
CBS (Canadian Breakfast Stout),,4.64
CBS (Canadian Breakfast Stout),,4.35
CBS (Canadian Breakfast Stout),Had the pleasure of sharing a 2018 bomber with my son. Poured nice and dark. Aromatic to the core with all the notes mentioned herein. Was a tad worried it was aged 5 years but it was the perfect age for us.,4.49
CBS (Canadian Breakfast Stout),,4.4
CBS (Canadian Breakfast Stout),,4.9
CBS (Canadian Breakfast Stout),"Bottled on 9/25/19, consumed on 6/27/23. Served and consumed starting at 45 F and warming to close to room temperature. 
 
Look: Deep, dark brown, almost (but not quite) black. Thin chocolate colored head, but more than I expected for a four year old bottle. 
 
Smell: Maple and chocolate and immediately obvious, with noticeable bourbon as well. Little to no coffee. 
 
Taste: The strong maple sweetness and the bourbon are noticeable first. Some chocolate is there, but very little coffee except for some bitterness in the aftertaste. The lack of an overwhelming coffee taste works well here, as it lets the maple and bourbon shine but provides just enough bitterness to offset the maple sweetness. 
 
Feel: Silky and smooth with a moderate bite on the back end. The 11.3% ABV is more noticeable in the feel that the taste. Warmth and a mild sting from the alcohol are both present, but not in overwhelming amounts. 
 
Overall: this is a world-class beer for good reasons. This is my very last bottle, so unless Founders re-releases it in the future I'll just say CBS will forever be one of the absolute best barrel aged stouts I have ever had the pleasure of sampling.",4.63
CBS (Canadian Breakfast Stout),,5
CBS (Canadian Breakfast Stout),,5
CBS (Canadian Breakfast Stout),"Bottled 9.25.19 
 
Poured at about 40° into a tulip glass 
 
Pours a deep coffee brown with a surprising one finger+ mocha colored head. Thin almost sheet like lacing and visible rising carbo. Impressive for this older brew. 4.75 
 
Met with maple as soon as I opened the cap, and it's still the dominant note, though there is some very slight bourbon. 4.5 
 
Big maple and chocolate, just a minor hint of coffee. Touch of char and barrel, maybe slight leather. 4.5 
 
Body is wicked smooth with zero sign of how big and burly this beer is. Slight warming blossom as it went down. 11.3% is non-existent- even halfway through the bottle. Dangerous! 5 
 
Overall a world class stout as it says it is that doesn't need my words, but happily leave them anyway as it was a delight of an experience. Haven't enjoyed this fresh, but 4-year mark is truly excellent. 4.75",4.62
CBS (Canadian Breakfast Stout),,4.5
CBS (Canadian Breakfast Stout),,5
CBS (Canadian Breakfast Stout),,4.8
CBS (Canadian Breakfast Stout),,4.79
CBS (Canadian Breakfast Stout),"12 oz bottle 
Bottled On Date: 10.01.2019 
Consumed on: 14 Mar, 2023 
Glass: Snifter 
ABV: 11.3% 
Serving Temp: room temp 
 
 
Look:  
Opaque black with a 2+ finger creamy light brown head. The head slowly dissipates to a thick ring and thin cover. Lacing is excellent. 
 
Smell:  
A fairly sweet nose. Semi-sweet chocolate. Some brown sugar and maple syrup. Light notes of vanilla. Faint ones of coffee. A touch of bourbon. 
 
Taste:  
Follows the nose but with the maple and the sweetness much more pronounced. And the bourbon notes. The coffee cannot be noticed until fairly late in the sip. The alcohol is noticeable and provides a bit of a sting at the end along with warmth. 
 
Feel:  
Smooth, silky and mouth-coating. Very noticeable warmth and a sting from the alcohol. The body is medium-full. 
 
Overall:  
A very nice Imperial Stout. Complex. This brew is definitely sweet, which makes it a dessert beer for me. 
 
Just to note - this beer is 2.5 years old. That must have had an effect.",4.27
CBS (Canadian Breakfast Stout),,4.52
CBS (Canadian Breakfast Stout),"2019 bomber, poured at 53° into a Founders Brewing sniffer. 
Age said no head, so this pours flat black with just a whisper of beige foam that ghosted out fast. 
Awesome room-filling aroma of fresh pulled espresso, a chocolatiers best offering in his shop, quite light bourbon too. 
Bold flavor - but god awful sweet - tastes of dark chocolate covered coffee beans, vanilla, maple syrup, a bit of mild tobacco. Finishes short with barrel and maple leaf candy left on the palate. Burp of coffee. Sticky lip. 
Thick. Really thick. Almost no carbonation at all. 
Overall, this fine elixir would’ve been better served two years ago, rather than letting it sit this long. A beattiful effort nonetheless.,.",4.33
CBS (Canadian Breakfast Stout),,5
CBS (Canadian Breakfast Stout),,4.68
Hunahpu's Imperial Stout - Double Barrel Aged,,3.68
Hunahpu's Imperial Stout - Double Barrel Aged,,4.48
Hunahpu's Imperial Stout - Double Barrel Aged,,4.27
Hunahpu's Imperial Stout - Double Barrel Aged,"LONG time want of mine! 2016 vintage. Unfortunately, most of the cocoa, vanilla, and cinnamon has faded already. All that remains is the apple brandy, and strong ancho chilies. Spicy burn on finish. I’m sure it’s a shell of its former self.",4.27
Hunahpu's Imperial Stout - Double Barrel Aged,,5
Hunahpu's Imperial Stout - Double Barrel Aged,,4.77
Hunahpu's Imperial Stout - Double Barrel Aged,,4.75
Hunahpu's Imperial Stout - Double Barrel Aged,,4.75
Hunahpu's Imperial Stout - Double Barrel Aged,,4.5
Hunahpu's Imperial Stout - Double Barrel Aged,Bottle share thx to Hopelessly0.,4.17
Hunahpu's Imperial Stout - Double Barrel Aged,,4.33
Hunahpu's Imperial Stout - Double Barrel Aged,,4.4
Hunahpu's Imperial Stout - Double Barrel Aged,,3.9
Hunahpu's Imperial Stout - Double Barrel Aged,"Review was for OG, not rerelease.",4.46
Hunahpu's Imperial Stout - Double Barrel Aged,"This amazing beer combines tobacco, peppers, vanilla, and what tastes like brandy into the quintessential barrel aged beer that pours perfectly and combines amazing mouthfeel, carb and taste",4.75
Hunahpu's Imperial Stout - Double Barrel Aged,,4.93
Hunahpu's Imperial Stout - Double Barrel Aged,"2016 Vintage - Drank 02/24/21 
 
Smell -pleasant with notes of tobacco and chocolate 
 
Taste - The tobacco over powers this one in the beginning. And then as it warms, the peppers take over. Very unique taste, and I think it’s the brandy barrel influence. 
 
Feel - thin, and I expected more 
 
Overall - for being the #4 overall beer on BA, I expected more, much more. The feel was thin, and notes of pepper overpowered this. Yet it was not completely unenjoyable, just not even close to the 4th best beer in the world. Regardless, glad I gut to try it as it’s always nice to see what the hype is about. This one just didn’t live up to it",4.15
Hunahpu's Imperial Stout - Double Barrel Aged,2016 was worth it. 2014 idk man,4.23
Hunahpu's Imperial Stout - Double Barrel Aged,,4.5
Vanilla Bean Assassin,,5
Vanilla Bean Assassin,,4.81
Vanilla Bean Assassin,,5
Vanilla Bean Assassin,,5
Vanilla Bean Assassin,,4.98
Vanilla Bean Assassin,,4.27
Vanilla Bean Assassin,,4.4
Vanilla Bean Assassin,,4.93
Vanilla Bean Assassin,,4.96
Vanilla Bean Assassin,,4.85
Vanilla Bean Assassin,"12oz bottle…2022 version. Drank 12/25/22. 
Pours dark brown/black, not much carbonation. Smells of sweet chocolate, vanilla, and barrel. Taste is marshmallows soaked in bourbon. Perfect sweetness. If there is a knock it’s slightly on the thin side, but that’s being picky. Probably the best adjunct stout I’ve had. Truly lives up to the hype.",4.86
Vanilla Bean Assassin,,4.77
Vanilla Bean Assassin,,4.77
Vanilla Bean Assassin,,5
Vanilla Bean Assassin,,4.75
Vanilla Bean Assassin,,5
Vanilla Bean Assassin,,4.93
Vanilla Bean Assassin,,4.93
Vanilla Bean Assassin,,4.91
Vanilla Bean Assassin,,4.75
Abner,,4.92
Abner,,4.74
Abner,,4.69
Abner,,4.25
Abner,"Such a well balanced beer. Hill Farmstead doesn't go crazy with one flavor profile and that is embodied here. While labeled a NE IPA, is more caramel colored than hazy and tastes blend west coast and east coast styles, similar to Focal Banger. Definitely hoppy at the start but mellows with a malty, oaty finish. Partly hoppy and partly rustic, Abner is a expertly minimalist IPA. They do all the little things right.",4.59
Abner,,4.87
Abner,,4.53
Abner,,4.62
Abner,,4.4
Abner,,4.5
Abner,,4.92
Abner,,4.53
Abner,"A really great double IPA! Had a pint at The Bench restaurant in Stowe VT. Pours a hazy orange color with a good size white head and good lacing on the glass. Mostly citrus aroma but nicely balanced with hoppy goodness. Mouthfeel is rich, crisp and moderately bitter. An outstanding Double IPA!!",4.34
Abner,,4.34
